emotion,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
feliz,-656.2288818,62.20653152,-2.343207836,12.91606998,1.824127793,-0.170713305,-5.669990063,-7.286775112,-13.77697468,-3.3122015,2.361757755,-7.001430511,1.93077755
feliz,-596.909729,42.28311157,-20.86756134,5.388655186,-8.000669479,-6.72469902,-8.967098236,-14.92202759,-5.081355095,-3.650230408,-8.352835655,-2.456526995,-10.15061474
feliz,-530.7911987,47.39129639,-6.545994759,5.063589573,1.611910224,-1.896019101,-18.54678726,-9.952934265,-7.984760761,-12.89288998,-1.815234065,-10.48372459,-5.557133675
feliz,-620.3019409,44.09463501,-12.84168339,8.851800919,-4.140837669,-7.575770855,-3.306718588,-12.53622532,-7.053837776,-5.823917866,-4.152261734,-6.591554165,-5.185892582
feliz,-681.5024414,53.67715073,7.889165401,15.00361156,7.49666214,0.607525766,0.406476676,-3.78490591,-3.164778948,0.147285193,2.279397249,-1.139779449,-1.463634372
feliz,-646.7022705,44.62740326,-31.92117119,7.449850082,-4.359053612,-18.03013039,-13.93375683,-16.59844017,-6.404254913,0.652388096,-14.55373001,-2.613353491,-5.129986763
feliz,-613.0447388,72.07157135,-8.338316917,14.75273037,7.88533926,-2.340049267,-10.32459641,-10.82514381,-0.211252436,0.860424936,-6.836994171,1.284106374,4.61421442
feliz,-657.2909546,58.61746216,0.937265635,18.93900871,9.58189106,-1.23847115,1.502583385,-7.452510357,0.887164831,-1.868371129,-1.391956687,-2.492030859,-2.052572489
feliz,-706.2362671,68.20472717,5.6514678,14.95203876,16.74382782,4.572454453,-4.644878864,-4.602479458,-3.452192307,3.194579601,-6.347079277,0.503946066,-0.491994411
feliz,-508.0798645,41.09106064,-21.13446808,5.56258297,-0.456898302,-10.34930134,-13.76744938,-19.09219551,-4.632901192,-0.760244489,-11.57166767,-5.304501057,-0.378709793
feliz,-661.9022827,53.02125549,16.84103394,11.95574665,10.21027279,7.215353966,-0.80825299,-0.161432579,-3.784370899,-0.131068155,3.715520859,0.606888056,1.769259453
feliz,-590.7698364,43.79758835,-12.72220516,5.99131012,-1.136540651,-10.64923286,-7.511237144,-17.91477203,-9.981128693,-5.324188709,-9.051732063,-1.371468067,-14.07269096
feliz,-661.9741211,53.9271965,-1.453197002,9.362547874,4.753345966,3.683570862,-6.153078079,-5.152452469,-9.170527458,0.198286131,0.834731698,-3.521765232,5.079287052
feliz,-594.1548462,27.63717461,-10.27987862,4.342620373,-7.829429626,-12.60405827,-13.92725468,-13.13680553,-1.921442389,-9.334878922,-6.180309296,-3.917604208,-5.224376202
feliz,-606.4469604,71.48730469,-7.576394081,15.28776932,15.322896,0.327395648,-0.663849711,-1.135419011,-2.833918571,-0.621190786,1.363297105,2.374052763,-0.147069931
feliz,-579.7299194,41.74175262,-4.757806301,7.500827312,0.168014616,-9.43859005,-12.13150883,-8.4914217,-6.212281227,-1.917492628,-9.006648064,-5.021100044,-1.983587742
feliz,-577.4066162,53.99244308,-0.946903706,13.10420418,9.927898407,1.52967,4.81840086,-7.331411362,-7.351754665,2.758774519,-1.020742536,-3.073496103,5.658660889
feliz,-667.24646,49.29151535,-7.073358536,5.427686214,0.393067122,-5.020690441,-4.651281357,-15.91279125,-7.278916836,-5.001692772,-5.579999924,-5.311220169,-7.00101757
feliz,-688.4569092,78.13202667,15.73786545,19.70409775,5.811307907,17.66994286,-2.020468473,-3.310179472,-6.12724781,0.246546313,3.337182999,-3.047101498,2.893823147
feliz,-629.4865723,37.42071152,-2.451221943,10.41736126,-3.482464075,-5.369235516,-8.34480381,-14.07018375,-7.192082405,-7.900625229,-7.866289139,-3.069573402,-7.386907578
feliz,-549.6602783,65.3747406,-10.73966217,17.2093792,9.080263138,-7.295665741,-3.444273472,-9.699300766,-11.15563488,0.720518708,-4.318597317,-6.163098812,0.320329398
feliz,-637.4517822,44.20413208,-4.024809837,-0.324429542,0.362666458,-6.112728119,-10.91894341,-11.57130527,-11.56228352,-0.631565213,-5.387964725,-8.156666756,-2.141874313
feliz,-608.4482422,42.86229324,-7.122562885,3.526418686,4.985817432,-5.667662144,-6.395647526,-8.578725815,-12.11207771,-3.922924042,-2.602704287,-5.522350311,-2.919099092
feliz,-676.5233765,48.59352493,-13.86147404,-0.564833462,-5.927914143,-7.075417519,-10.60254002,-9.704247475,-7.686182976,-5.840102673,-6.994749546,-0.82730782,-6.848546982
feliz,-652.7005615,57.0225296,0.418439955,18.28931618,2.630988359,0.418355465,-2.529272556,-6.284705162,-13.43419838,-3.618144512,0.616987109,-4.589427471,2.576322079
feliz,-593.0543213,46.50388718,-15.52993107,8.504858971,-6.198272228,-6.078748226,-8.619363785,-12.89037323,-3.10553813,-2.158179998,-7.117528915,-1.977037191,-8.486348152
feliz,-558.9613647,52.89056396,-3.815104723,2.379025936,-1.744910598,3.423419952,-16.88148689,-9.580489159,-6.4145298,-11.02526188,1.792442679,-8.781248093,-4.270978928
feliz,-607.9138184,43.23117828,-15.18276119,5.704207897,-3.845371246,-9.988027573,-5.768050671,-14.32846546,-5.538021088,-3.931336641,-5.839096546,-5.62195158,-4.762959957
feliz,-612.0290527,68.37136841,0.246288925,11.88970947,2.951384306,-2.587055683,-3.435470581,-5.571572781,-8.30563736,-0.891438127,2.646820784,-3.349977016,-1.120280385
feliz,-614.3837891,41.68340302,-29.96724319,7.477709293,0.202656999,-19.117033,-10.92655468,-15.60334492,-6.83714819,3.458843946,-11.017519,-3.907725811,-2.484300852
feliz,-613.0447388,72.07157135,-8.338316917,14.75273037,7.88533926,-2.340049267,-10.32459641,-10.82514381,-0.211252436,0.860424936,-6.836994171,1.284106374,4.61421442
feliz,-628.225647,51.6170578,-7.357043266,14.23840618,8.794811249,-3.952214479,-2.728626013,-9.708151817,-0.56530118,-2.948130846,-1.814663053,-1.784090638,-1.624079347
feliz,-650.5559692,66.44661713,-4.617538929,14.58934116,13.41149044,0.891038835,-4.85821867,-11.16536999,-7.981583595,3.455534697,-4.805128574,-5.022705078,1.385422945
feliz,-510.3927002,52.35864258,-11.02152729,5.881514549,-3.447912216,-13.53792763,-9.505345345,-19.77988052,-8.26883316,0.598347127,-11.00774765,-4.7907691,-0.937042236
feliz,-652.7094116,52.74059296,17.85147095,13.53367424,9.304794312,3.627706051,2.197796345,-0.649114311,-1.761551976,-3.236957312,3.258071899,-0.363322437,-1.849700093
feliz,-589.7478027,51.59575653,-15.15897465,6.492377758,1.278251171,-12.91611862,-7.077920914,-17.38727951,-9.623815536,-2.319608212,-9.303376198,-0.424171597,-11.09998035
feliz,-642.7550659,54.24137497,-2.747750998,9.893186569,2.680485487,5.015292645,-10.03773403,-7.130791664,-8.172942162,-2.839637995,2.285290718,-6.456063747,3.961589336
feliz,-600.8737183,26.24680901,-9.045959473,1.754508615,-6.654612541,-12.2520628,-9.06135273,-13.17590523,-5.250280857,-8.36911869,-8.295391083,-4.057289124,-8.325931549
feliz,-599.333374,68.42910767,-6.6547122,14.02584457,14.60669422,-2.319700956,-1.696068048,0.084731668,-5.263991356,-2.028692961,-0.317287326,3.218425512,0.113723613
feliz,-582.2363281,37.81316757,-8.328320503,6.225141525,-1.058799148,-9.504315376,-11.93106747,-10.28987312,-7.953248501,0.926796973,-8.286190033,-5.801535606,-2.415293217
feliz,-550.5854492,63.86340714,-4.448419094,13.59488583,4.851374149,6.507198334,1.866565228,-15.73158264,-7.744045734,2.796702147,-0.716638625,-4.85137558,5.010667324
feliz,-646.2508545,42.55036163,-4.209646225,4.504076004,-1.52885747,-10.66839314,-5.927993298,-14.91221333,-7.456311703,-4.67787981,-6.590782166,-7.38874054,-7.57845068
feliz,-654.0794067,69.52619934,3.182496071,18.59587097,0.672502756,14.32877064,0.106471345,-3.164277554,-6.186625004,1.951818109,4.69504261,-4.903758049,3.983674526
feliz,-673.9102783,27.61529541,-13.98365879,-1.562280297,-5.716147423,-10.4651556,-8.601356506,-17.09924126,-7.765977859,-7.115991116,-5.6261096,-0.833382964,-7.872591972
feliz,-578.7636719,65.38314056,-6.976966381,12.73815632,7.154093742,-3.815536976,-5.134233952,-9.445827484,-9.3149786,-0.169070691,-2.890911341,-5.285083294,-1.027204037
feliz,-642.4390259,46.12954712,-3.089584351,-2.705812931,2.934937716,-2.647073746,-10.17894173,-10.59189892,-10.30495453,-0.067078747,-5.394104958,-7.871641636,-0.302159339
feliz,-611.7603149,43.2872963,-3.357865334,5.164881706,5.579362869,-4.941465378,-5.761297703,-6.20232439,-12.84296608,-3.248246193,-3.051582098,-4.527510166,-3.244730234
feliz,-611.1344604,33.09897995,-16.20486832,1.008856893,-8.298963547,-9.56598568,-13.51789093,-8.574171066,-9.072193146,-7.558169842,-7.33151722,-1.594838262,-8.245951653
feliz,-596.5581055,49.15077972,-5.986515522,5.608568668,-1.271635175,-1.20676136,-12.03728008,-8.814259529,-11.10142422,-8.968306541,-0.681709528,-7.052578449,-1.901376605
feliz,-485.5585022,32.21035767,-29.87273788,6.866108894,-11.34290218,-14.86030388,-6.806929111,-15.64682579,-3.950389862,-7.934323788,-9.380688667,-2.202927113,-11.62848949
feliz,-431.0332642,46.6824913,-10.0951252,-4.187778473,-8.119683266,-1.161460161,-15.67540836,-9.910146713,-7.757749557,-13.33864403,3.856827974,-9.011376381,-6.547197342
feliz,-498.4720154,34.72143555,-23.28621674,2.358085155,-6.037969112,-8.603200912,-4.719084263,-16.44589806,-7.56345892,-0.086982682,-4.075589657,-8.949426651,-1.702171683
feliz,-616.6895752,52.44195175,3.362887144,7.603957653,-2.66989255,-1.670190573,-5.894978046,-4.387789249,-9.923695564,-7.196024418,2.255579948,-5.330919743,-4.453629494
feliz,-427.7573242,15.81041145,-52.22502518,-4.707892418,-3.910901308,-18.92686272,-24.12353516,-9.719073296,-15.20092106,11.46463299,0.272118777,14.4804554,18.66075516
feliz,-480.7327881,64.91248322,-11.3671484,7.57259798,7.909040451,-13.90780067,-13.02934074,-8.926920891,-9.962190628,1.367882371,-4.454305649,0.087269068,5.769566536
feliz,-538.9624023,49.61706161,-21.38672447,8.598838806,2.71863699,-9.611735344,-0.212144539,-11.34808064,-1.34084487,-2.927064657,-6.714440823,-4.459789276,-1.999479532
feliz,-480.8839111,56.85820007,-17.44612122,2.633608103,7.54503727,-12.68465996,-15.04293728,-7.81628561,-14.53258801,-1.800478339,-1.363372087,-4.458291531,-5.008392811
feliz,-368.7604675,35.3793602,-30.61627007,-1.84281826,-4.069356918,-22.08081818,-10.70603657,-20.74463272,-16.65877533,0.906819105,-14.62966824,-10.20764446,-1.864866853
feliz,-491.0422363,50.91491699,5.56217289,6.088569164,1.063391566,1.338257909,-0.377246886,-1.08184135,-7.938243866,-5.464132309,2.500446081,-1.29410553,-0.574552596
feliz,-472.555542,36.7576561,-21.16663742,2.775301456,-1.085703731,-11.61750984,-1.389468312,-5.019624233,-5.913219452,3.422374725,-3.741701603,2.326184034,-4.702749252
feliz,-587.1623535,56.51271439,-9.39426136,10.53156662,9.088020325,0.892786026,-9.640778542,-3.648036003,-7.728915215,0.269176304,1.260062337,-7.976775646,4.283990383
feliz,-453.6954956,19.14498329,-31.78133965,-1.734211326,-13.75252247,-21.10156822,-4.019233704,-14.43009186,-5.850874424,-2.577051878,-11.19390869,7.637439251,-1.172101736
feliz,-532.9119263,51.43335724,-2.881199121,18.86152458,12.02034378,1.425075531,4.652513027,5.415973663,-1.269928336,6.295324802,1.949507236,4.993787289,3.743623734
feliz,-537.2506714,38.05885315,-14.10668468,4.726501942,-3.861256599,-8.480324745,-11.07623672,-11.16687775,-7.087173939,0.690515876,-9.937613487,-5.417130947,-1.916258454
feliz,-499.1760559,41.35051346,0.996706963,5.921628952,-1.011453152,-0.22103256,-3.111347914,-3.860465765,-5.553369045,-0.203162909,0.64005816,-3.026537895,-0.529520571
feliz,-414.2671509,11.1082983,-23.21048164,-7.419190407,-7.288784504,-8.882563591,-6.330205441,-7.078837395,-12.50756264,-1.678136349,-7.575988293,-4.12361145,1.770088434
feliz,-589.8052979,56.51438522,8.00578022,12.29109478,-0.65920639,6.438124657,-4.252529621,-5.804586411,-7.172017097,-0.144485667,6.475974083,-4.630663395,-0.542184234
feliz,-538.0494995,27.48665428,-34.08482742,-3.541279078,-17.58718681,-18.48343277,-10.35967636,-17.46115685,-10.39680099,-2.947440386,-12.05815315,-1.855616927,-9.410999298
feliz,-479.3951416,55.12782669,-16.72793198,12.09801674,4.379313946,-12.06254005,-4.058893681,-5.551989079,-15.2033844,-1.166133523,-4.125968933,-9.7608881,-0.336267054
feliz,-495.2068176,33.35709381,-21.61019516,-7.65492487,-5.631412983,-12.53373909,-14.77095985,-11.35681438,-16.12769318,-2.483287573,-6.012367249,-10.03310585,-6.72135973
feliz,-508.4954224,30.2035923,-12.21726608,-2.069479704,-2.18321228,-6.817924976,-8.862730026,-6.028693676,-11.23111629,-5.776504993,-3.557055235,-5.809495926,-5.753914356
feliz,-530.6814575,33.45048904,-21.65171623,5.746669292,-10.31451511,-15.32931042,-6.339697838,-10.82622147,-5.680858612,-3.020881414,-9.400642395,3.474544525,-7.526514053
feliz,-559.9233398,54.8759346,-11.51856136,5.495306492,2.415870905,-1.864291668,-11.11178112,-7.596749783,-14.50814819,-7.433643341,3.263152599,-7.886473656,-1.64989531
feliz,-483.8501892,35.78716278,-30.68063927,6.018523216,-9.47060585,-15.61241817,-8.27237606,-14.02902222,-5.069252491,-5.901592731,-9.294797897,-0.647419751,-10.77074623
feliz,-396.1575623,44.28846741,-16.90632248,-3.54652977,-12.57047844,-1.205687523,-13.95659065,-12.86163139,-11.22193623,-15.22403526,3.229763269,-10.0211916,-6.928820133
feliz,-499.7018433,21.13951874,-21.55529213,2.100877285,-8.458180428,-10.92014027,-2.015895844,-13.43869209,-4.964198589,-3.435083866,-6.676212311,-6.928920269,-6.173522949
feliz,-548.12854,58.0151329,-11.59191132,2.87115407,2.005053282,-3.010684252,-9.003407478,-2.92455554,-11.90444756,-6.313969135,5.159780979,-6.071684361,-2.41588068
feliz,-459.3206787,13.44444275,-49.441082,-5.799372196,-7.73238945,-18.31261635,-18.15140533,-11.15602589,-17.53419685,2.947126865,-10.91778374,4.185159683,15.27569294
feliz,-434.4394226,48.28983688,-12.47058487,13.04301739,3.930114985,-12.6464901,-14.25756264,-6.72217083,-7.491051197,-0.938326597,-5.870429993,-2.001151323,0.965763509
feliz,-549.225769,46.97468185,-20.7885685,15.63452911,2.782102108,-6.653435707,2.928408861,-5.470907688,-0.133894518,-2.179160595,-4.647936344,-2.529001713,-1.90273428
feliz,-476.4852295,79.28907776,-18.31894493,4.386622906,9.305142403,-16.61224747,-17.43065262,-7.106395721,-18.55596924,-4.85078001,-2.107836008,-6.91791296,-5.030638218
feliz,-389.2726746,32.40855789,-26.38116837,-1.084264874,0.145433038,-17.25831985,-12.37132168,-18.8942852,-14.54559803,0.381690413,-12.05196667,-11.0268631,0.364964515
feliz,-484.9259033,43.86804199,2.339842081,7.746890068,2.991103649,-0.801527739,0.258246362,0.235276774,-4.733631134,-2.26829195,2.251686811,0.039109953,-0.551801622
feliz,-478.3891296,36.79001617,-18.73474693,4.602374077,1.185649872,-10.66796398,-1.325264812,-4.06734848,-6.252854824,3.817378998,-4.27872324,3.131225586,-4.318260193
feliz,-533.7258911,54.16021729,-5.750890255,5.198356628,0.808750629,0.32568717,-15.96644115,-5.170694828,-9.692625046,-5.533627033,-0.803208947,-8.904783249,-1.842263818
feliz,-460.4796753,18.81402779,-30.85399818,0.884922564,-14.17532921,-17.10036087,-5.577521801,-16.55964279,-2.30387044,-7.393559456,-8.460570335,1.435486555,-8.997430801
feliz,-541.5265503,65.00033569,-12.82412624,16.33203316,14.87060833,-3.968781233,0.975431025,2.457370281,-6.740987778,2.519372463,2.869565964,1.498308778,-0.04954493
feliz,-454.026886,31.4431057,-16.39518547,6.697245121,-4.269051552,-12.48554993,-8.794032097,-7.380772114,-6.656949997,1.234285712,-9.491821289,-4.165258884,-0.045063563
feliz,-417.9750061,33.88231659,-4.277143478,3.581802607,0.162599042,1.360349536,-2.034986496,-5.992088318,-6.419453621,-1.258441329,-1.75451386,-4.137937546,-1.469856024
feliz,-429.6723022,20.20947647,-21.6372757,-3.863656044,-5.841028214,-7.0994277,-6.81623745,-7.544781208,-11.52951527,-0.923060954,-8.350879669,-5.549892426,1.687640429
feliz,-512.0450439,45.32783508,-14.85835648,2.553738356,-2.582556248,3.445896149,-11.7306118,-15.51818848,-8.652677536,-3.353230476,2.332692862,-8.222857475,-3.541685581
feliz,-483.9897461,31.33200264,-36.66193008,-2.526774406,-16.02079391,-20.1333065,-10.06738949,-21.06688309,-11.01809311,-6.540894985,-14.63147068,1.133441567,-4.120026112
feliz,-488.802948,51.40280914,-16.11965179,10.13931847,6.978862286,-11.04394627,-3.582113743,-4.321378708,-16.31894875,-0.602713525,-4.23918438,-9.049330711,-1.380731225
feliz,-497.5226746,35.86281967,-14.67625141,-4.995769978,-1.377509832,-10.42626667,-15.62296581,-12.2096796,-14.31830215,-3.152851582,-5.741553307,-12.22331238,-4.61445713
feliz,-504.2401428,30.64658356,-13.68686581,-2.73857522,-3.334957361,-7.490459919,-9.829236031,-6.740911007,-10.79912376,-7.204030991,-4.024676323,-4.661410332,-6.943024635
feliz,-527.1925659,33.26206207,-19.86898041,10.14008236,-7.898109436,-11.12527561,-5.234743595,-8.587011337,-4.97052145,-1.572371364,-8.418208122,4.873899937,-1.865776539
feliz,-517.756958,48.02011871,-10.22142029,7.831819534,-0.172148764,-2.173067093,-10.42251301,-9.233612061,-17.87896538,-4.9133811,0.001701445,-9.143921852,0.118755922
feliz,-534.4573364,38.03159714,-22.94729042,4.59047699,-6.456139565,-11.96888542,-11.76581287,-14.96968651,-4.122635841,-3.665528059,-11.60771942,-2.201494217,-10.77011108
feliz,-349.2950134,41.83824921,-5.317306519,-3.257838011,-10.04233074,-0.332283318,-12.24398232,-14.55033398,-11.55335331,-17.77564621,-3.074062824,-5.846982002,-10.36438656
feliz,-520.5315552,23.30079079,-18.06280136,1.094186068,-9.18180275,-11.70422459,-7.674950123,-15.64274693,-7.823354721,-5.098839283,-7.404883862,-6.062362671,-6.794500828
feliz,-562.8807373,59.83793259,-2.837687492,8.135033607,4.008979321,-2.282989025,-7.623980999,-7.147432804,-16.50523376,-4.884724617,3.119753599,-6.729406834,-4.807905197
feliz,-455.8686523,9.776973724,-50.19108582,-5.843604565,-7.683737278,-23.71489525,-17.72662544,-14.57771587,-12.85008049,3.274385452,-10.85206032,6.953041077,15.08804893
feliz,-489.0680237,64.01266479,-18.39439583,9.183151245,7.069767952,-17.78734016,-10.43697548,-11.66759872,-11.17721653,2.571035385,-9.503172874,-1.595968485,0.824796498
feliz,-520.5137939,42.83813095,-21.19209099,10.79583645,3.502536535,-10.80869675,-3.021565199,-12.51626205,-3.543929815,-4.850186825,-9.035115242,-3.602575779,-4.578655243
